,Importance Value,Regions,Network Connection,Network Connection2
0,0.0,R_V1 | R_MST,Visual1 | Visual2,
5711,0.0,R_IPS1 | R_PFcm,Visual2 | Cingulo-Oper,
5712,0.0,R_IPS1 | R_PoI2,Visual2 | Cingulo-Oper,
5713,0.0,R_IPS1 | R_TA2,Visual2 | Auditory,
5714,0.0,R_IPS1 | R_FOP4,Visual2 | Cingulo-Oper,
5715,0.0,R_IPS1 | R_MI,Visual2 | Cingulo-Oper,
5716,0.0,R_IPS1 | R_Pir,Visual2 | Orbito-Affec,
5717,0.0,R_IPS1 | R_AVI,Visual2 | Frontopariet,
5718,0.0,R_IPS1 | R_AAIC,Visual2 | Orbito-Affec,
5719,0.0,R_IPS1 | R_FOP1,Visual2 | Cingulo-Oper,
5720,0.0,R_IPS1 | R_FOP3,Visual2 | Cingulo-Oper,
5721,0.0,R_IPS1 | R_FOP2,Visual2 | Somatomotor,
5722,0.0,R_IPS1 | R_PFt,Visual2 | Language,
5723,0.0,R_IPS1 | R_AIP,Visual2 | Language,
5724,0.0,R_IPS1 | R_EC,Visual2 | Posterior-Mu,
5725,0.0,R_IPS1 | R_PreS,Visual2 | Posterior-Mu,
5726,0.0,R_IPS1 | R_H,Visual2 | Posterior-Mu,
5727,0.0,R_IPS1 | R_ProS,Visual2 | Visual1,
5728,0.0,R_IPS1 | R_PeEc,Visual2 | Ventral-Mult,
5729,0.0,R_IPS1 | R_STGa,Visual2 | Default,
5730,0.0,R_IPS1 | R_PBelt,Visual2 | Auditory,
5731,0.0,R_IPS1 | R_A5,Visual2 | Default,
5732,0.0,R_IPS1 | R_PHA1,Visual2 | Posterior-Mu,
5733,0.0,R_IPS1 | R_PHA3,Visual2 | Language,
5734,0.0,R_IPS1 | R_STSda,Visual2 | Default,
5735,0.0,R_IPS1 | R_STSdp,Visual2 | Default,
5736,0.0,R_IPS1 | R_STSvp,Visual2 | Posterior-Mu,
5737,0.0,R_IPS1 | R_TGd,Visual2 | Posterior-Mu,
5738,0.0,R_IPS1 | R_TE1a,Visual2 | Posterior-Mu,
5739,0.0,R_IPS1 | R_TE1p,Visual2 | Frontopariet,
5740,0.0,R_IPS1 | R_TE2a,Visual2 | Posterior-Mu,
5741,0.0,R_IPS1 | R_TF,Visual2 | Ventral-Mult,
5742,0.0,R_IPS1 | R_TE2p,Visual2 | Language,
5743,0.0,R_IPS1 | R_PHT,Visual2 | Language,
5744,0.0,R_IPS1 | R_PH,Visual2 | Visual2,
5745,0.005052631578947353,R_IPS1 | R_TPOJ1,Visual2 | Default,
5746,0.0,R_IPS1 | R_TPOJ2,Visual2 | Dorsal-atten,
5747,0.0,R_IPS1 | R_TPOJ3,Visual2 | Dorsal-atten,
5748,0.0,R_IPS1 | R_DVT,Visual2 | Visual1,
5749,0.0,R_IPS1 | R_PGp,Visual2 | Language,
5750,0.0,R_IPS1 | R_IP2,Visual2 | Frontopariet,
5751,0.0,R_IPS1 | R_IP1,Visual2 | Frontopariet,
5752,0.0,R_IPS1 | R_IP0,Visual2 | Language,
5753,0.0,R_IPS1 | R_PFop,Visual2 | Cingulo-Oper,
5754,0.0,R_IPS1 | R_PF,Visual2 | Cingulo-Oper,
5755,0.0,R_IPS1 | R_PFm,Visual2 | Frontopariet,
5756,0.0,R_IPS1 | R_PGi,Visual2 | Posterior-Mu,
5757,0.0,R_IPS1 | R_PGs,Visual2 | Posterior-Mu,
5758,0.0,R_IPS1 | R_V6A,Visual2 | Visual2,
5759,0.0,R_IPS1 | R_VMV1,Visual2 | Visual2,
5760,0.0,R_IPS1 | R_VMV3,Visual2 | Visual2,
5761,0.0,R_IPS1 | R_PHA2,Visual2 | Posterior-Mu,
5762,0.0,R_IPS1 | R_V4t,Visual2 | Visual2,
5763,0.0,R_IPS1 | R_FST,Visual2 | Visual2,
5764,0.0,R_IPS1 | R_V3CD,Visual2 | Visual2,
5765,0.0,R_IPS1 | R_LO3,Visual2 | Visual2,
5766,0.0,R_IPS1 | R_VMV2,Visual2 | Visual2,
5767,0.0,R_IPS1 | R_31pd,Visual2 | Posterior-Mu,
5768,0.0,R_IPS1 | R_31a,Visual2 | Posterior-Mu,
5769,0.0,R_IPS1 | R_VVC,Visual2 | Visual2,
5770,0.0,R_IPS1 | R_25,Visual2 | Posterior-Mu,
5771,0.0,R_IPS1 | R_s32,Visual2 | Posterior-Mu,
5772,0.0,R_IPS1 | R_pOFC,Visual2 | Orbito-Affec,
5773,0.0,R_IPS1 | R_PoI1,Visual2 | Cingulo-Oper,
5774,0.0,R_IPS1 | R_Ig,Visual2 | Somatomotor,
5775,0.0,R_IPS1 | R_FOP5,Visual2 | Cingulo-Oper,
5776,0.0,R_IPS1 | R_p10p,Visual2 | Frontopariet,
5777,0.0,R_IPS1 | R_p47r,Visual2 | Frontopariet,
5778,0.0,R_IPS1 | R_TGv,Visual2 | Default,
5779,0.0,R_IPS1 | R_MBelt,Visual2 | Auditory,
5780,0.0,R_IPS1 | R_LBelt,Visual2 | Auditory,
5781,0.0,R_IPS1 | R_A4,Visual2 | Auditory,
5782,0.0,R_IPS1 | R_STSva,Visual2 | Posterior-Mu,
5783,0.0,R_IPS1 | R_TE1m,Visual2 | Posterior-Mu,
5784,0.0,R_IPS1 | R_PI,Visual2 | Cingulo-Oper,
5785,0.0,R_IPS1 | R_a32pr,Visual2 | Cingulo-Oper,
5786,0.0,R_IPS1 | R_p24,Visual2 | Cingulo-Oper,
5787,0.0,R_IPS1 | L_V1,Visual2 | Visual1,
5788,0.0,R_IPS1 | L_MST,Visual2 | Visual2,
5789,0.0,R_IPS1 | L_V6,Visual2 | Visual2,
5790,0.0,R_IPS1 | L_V2,Visual2 | Visual2,
5791,0.0,R_IPS1 | L_V3,Visual2 | Visual2,
5792,0.003368421052631554,R_IPS1 | L_V4,Visual2 | Visual2,
5793,0.0,R_IPS1 | L_V8,Visual2 | Visual2,
5794,0.0,R_IPS1 | L_4,Visual2 | Somatomotor,
5795,0.0,R_IPS1 | L_3b,Visual2 | Somatomotor,
5796,0.0,R_IPS1 | L_FEF,Visual2 | Cingulo-Oper,
5797,0.0,R_IPS1 | L_PEF,Visual2 | Cingulo-Oper,
5798,0.0,R_IPS1 | L_55b,Visual2 | Default,
5799,0.0,R_IPS1 | L_V3A,Visual2 | Visual2,
5800,0.0,R_IPS1 | L_RSC,Visual2 | Frontopariet,
5801,0.0,R_IPS1 | L_POS2,Visual2 | Frontopariet,
5802,0.0,R_IPS1 | L_V7,Visual2 | Visual2,
5803,0.0,R_IPS1 | L_IPS1,Visual2 | Visual2,
5804,0.0,R_IPS1 | L_FFC,Visual2 | Visual2,
5805,0.0,R_IPS1 | L_V3B,Visual2 | Visual2,
5806,0.0,R_IPS1 | L_LO1,Visual2 | Visual2,
5807,0.0,R_IPS1 | L_LO2,Visual2 | Visual2,
5808,0.0,R_IPS1 | L_PIT,Visual2 | Visual2,
5809,0.0,R_IPS1 | L_MT,Visual2 | Visual2,
5810,0.0,R_IPS1 | L_A1,Visual2 | Auditory,
5811,0.0,R_IPS1 | L_PSL,Visual2 | Cingulo-Oper,
5812,0.0,R_IPS1 | L_SFL,Visual2 | Default,
5813,0.0,R_IPS1 | L_PCV,Visual2 | Dorsal-atten,
5814,0.0,R_IPS1 | L_STV,Visual2 | Dorsal-atten,
5815,0.0,R_IPS1 | L_7Pm,Visual2 | Frontopariet,
5816,0.0,R_IPS1 | L_7m,Visual2 | Posterior-Mu,
5817,0.0029473684210526096,R_IPS1 | L_POS1,Visual2 | Posterior-Mu,
5818,0.0,R_IPS1 | L_23d,Visual2 | Posterior-Mu,
5819,0.0,R_IPS1 | L_v23ab,Visual2 | Posterior-Mu,
5820,0.0,R_IPS1 | L_d23ab,Visual2 | Posterior-Mu,
5821,0.0,R_IPS1 | L_31pv,Visual2 | Posterior-Mu,
5822,0.0,R_IPS1 | L_5m,Visual2 | Somatomotor,
5823,0.0,R_IPS1 | L_5mv,Visual2 | Cingulo-Oper,
5824,0.0,R_IPS1 | L_23c,Visual2 | Cingulo-Oper,
5825,0.0,R_IPS1 | L_5L,Visual2 | Somatomotor,
5826,0.0,R_IPS1 | L_24dd,Visual2 | Somatomotor,
5827,0.0,R_IPS1 | L_24dv,Visual2 | Somatomotor,
5828,0.0,R_IPS1 | L_7AL,Visual2 | Somatomotor,
5829,0.0,R_IPS1 | L_SCEF,Visual2 | Cingulo-Oper,
5830,0.0,R_IPS1 | L_6ma,Visual2 | Cingulo-Oper,
5831,0.0,R_IPS1 | L_7Am,Visual2 | Cingulo-Oper,
5832,0.0,R_IPS1 | L_7PL,Visual2 | Language,
5833,0.0,R_IPS1 | L_7PC,Visual2 | Somatomotor,
5834,0.0,R_IPS1 | L_LIPv,Visual2 | Visual2,
5835,0.0,R_IPS1 | L_VIP,Visual2 | Visual2,
5836,0.00042105263157894425,R_IPS1 | L_MIP,Visual2 | Language,
5837,0.0,R_IPS1 | L_1,Visual2 | Somatomotor,
5838,0.0,R_IPS1 | L_2,Visual2 | Somatomotor,
5839,0.0,R_IPS1 | L_3a,Visual2 | Somatomotor,
5840,0.0,R_IPS1 | L_6d,Visual2 | Somatomotor,
5841,0.0,R_IPS1 | L_6mp,Visual2 | Somatomotor,
5842,0.0,R_IPS1 | L_6v,Visual2 | Somatomotor,
5843,0.0,R_IPS1 | L_p24pr,Visual2 | Cingulo-Oper,
5844,0.0,R_IPS1 | L_33pr,Visual2 | Frontopariet,
5845,0.0,R_IPS1 | L_a24pr,Visual2 | Cingulo-Oper,
5846,0.0,R_IPS1 | L_p32pr,Visual2 | Cingulo-Oper,
5847,0.0,R_IPS1 | L_a24,Visual2 | Posterior-Mu,
5848,0.0,R_IPS1 | L_d32,Visual2 | Frontopariet,
5849,0.0,R_IPS1 | L_8BM,Visual2 | Frontopariet,
5850,0.0,R_IPS1 | L_p32,Visual2 | Posterior-Mu,
5851,0.0,R_IPS1 | L_10r,Visual2 | Posterior-Mu,
5852,0.0,R_IPS1 | L_47m,Visual2 | Posterior-Mu,
5853,0.0,R_IPS1 | L_8Av,Visual2 | Posterior-Mu,
5854,0.0,R_IPS1 | L_8Ad,Visual2 | Posterior-Mu,
5855,0.0,R_IPS1 | L_9m,Visual2 | Posterior-Mu,
5856,0.0,R_IPS1 | L_8BL,Visual2 | Posterior-Mu,
5857,0.0,R_IPS1 | L_9p,Visual2 | Posterior-Mu,
5858,0.0,R_IPS1 | L_10d,Visual2 | Posterior-Mu,
5859,0.0,R_IPS1 | L_8C,Visual2 | Frontopariet,
5860,0.0,R_IPS1 | L_44,Visual2 | Frontopariet,
5861,0.0,R_IPS1 | L_45,Visual2 | Default,
5862,0.0,R_IPS1 | L_47l,Visual2 | Posterior-Mu,
5863,0.0,R_IPS1 | L_a47r,Visual2 | Frontopariet,
5864,0.0,R_IPS1 | L_6r,Visual2 | Cingulo-Oper,
5865,0.0,R_IPS1 | L_IFJa,Visual2 | Default,
5866,0.0,R_IPS1 | L_IFJp,Visual2 | Frontopariet,
5867,0.0,R_IPS1 | L_IFSp,Visual2 | Frontopariet,
5868,0.0,R_IPS1 | L_IFSa,Visual2 | Cingulo-Oper,
5869,0.0,R_IPS1 | L_p9-46v,Visual2 | Frontopariet,
5870,0.0,R_IPS1 | L_46,Visual2 | Cingulo-Oper,
5871,0.0,R_IPS1 | L_a9-46v,Visual2 | Frontopariet,
5872,0.0,R_IPS1 | L_9-46d,Visual2 | Cingulo-Oper,
5873,0.0,R_IPS1 | L_9a,Visual2 | Posterior-Mu,
5874,0.0,R_IPS1 | L_10v,Visual2 | Posterior-Mu,
5875,-0.00042105263157894425,R_IPS1 | L_a10p,Visual2 | Frontopariet,
5876,0.0,R_IPS1 | L_10pp,Visual2 | Posterior-Mu,
5877,0.0,R_IPS1 | L_11l,Visual2 | Frontopariet,
5878,0.0,R_IPS1 | L_13l,Visual2 | Frontopariet,
5879,0.0,R_IPS1 | L_OFC,Visual2 | Frontopariet,
5880,0.0,R_IPS1 | L_47s,Visual2 | Posterior-Mu,
5881,0.0,R_IPS1 | L_LIPd,Visual2 | Language,
5882,0.0,R_IPS1 | L_6a,Visual2 | Language,
5883,0.0,R_IPS1 | L_i6-8,Visual2 | Frontopariet,
5884,0.0,R_IPS1 | L_s6-8,Visual2 | Frontopariet,
5885,0.0,R_IPS1 | L_43,Visual2 | Cingulo-Oper,
5886,0.0,R_IPS1 | L_OP4,Visual2 | Somatomotor,
5887,0.0,R_IPS1 | L_OP1,Visual2 | Somatomotor,
5888,0.0,R_IPS1 | L_OP2-3,Visual2 | Somatomotor,
5889,0.0,R_IPS1 | L_52,Visual2 | Auditory,
5890,0.0,R_IPS1 | L_RI,Visual2 | Somatomotor,
5891,0.0,R_IPS1 | L_PFcm,Visual2 | Cingulo-Oper,
5892,0.0,R_IPS1 | L_PoI2,Visual2 | Cingulo-Oper,
5893,0.0,R_IPS1 | L_TA2,Visual2 | Auditory,
5894,0.0,R_IPS1 | L_FOP4,Visual2 | Cingulo-Oper,
5895,0.0,R_IPS1 | L_MI,Visual2 | Cingulo-Oper,
5896,0.0,R_IPS1 | L_Pir,Visual2 | Orbito-Affec,
5897,0.0,R_IPS1 | L_AVI,Visual2 | Frontopariet,
5898,-0.00042105263157894425,R_IPS1 | L_AAIC,Visual2 | Orbito-Affec,
5899,0.0,R_IPS1 | L_FOP1,Visual2 | Cingulo-Oper,
5900,0.0,R_IPS1 | L_FOP3,Visual2 | Cingulo-Oper,
5901,0.0,R_IPS1 | L_FOP2,Visual2 | Somatomotor,
5902,0.0,R_IPS1 | L_PFt,Visual2 | Language,
5903,0.0,R_IPS1 | L_AIP,Visual2 | Language,
5904,0.0,R_IPS1 | L_EC,Visual2 | Posterior-Mu,
5905,0.0,R_IPS1 | L_PreS,Visual2 | Posterior-Mu,
5906,0.0,R_IPS1 | L_H,Visual2 | Posterior-Mu,
5907,0.0,R_IPS1 | L_ProS,Visual2 | Visual1,
5908,0.0,R_IPS1 | L_PeEc,Visual2 | Ventral-Mult,
5909,0.0,R_IPS1 | L_STGa,Visual2 | Default,
5910,0.0,R_IPS1 | L_PBelt,Visual2 | Auditory,
5911,0.0,R_IPS1 | L_A5,Visual2 | Default,
5912,0.0,R_IPS1 | L_PHA1,Visual2 | Posterior-Mu,
5913,0.0,R_IPS1 | L_PHA3,Visual2 | Language,
5914,0.0,R_IPS1 | L_STSda,Visual2 | Posterior-Mu,
5915,0.0,R_IPS1 | L_STSdp,Visual2 | Default,
5916,0.0,R_IPS1 | L_STSvp,Visual2 | Posterior-Mu,
5917,0.0,R_IPS1 | L_TGd,Visual2 | Posterior-Mu,
5918,0.0,R_IPS1 | L_TE1a,Visual2 | Posterior-Mu,
5919,0.0,R_IPS1 | L_TE1p,Visual2 | Frontopariet,
5920,0.0,R_IPS1 | L_TE2a,Visual2 | Posterior-Mu,
5921,0.0,R_IPS1 | L_TF,Visual2 | Ventral-Mult,
5922,0.0,R_IPS1 | L_TE2p,Visual2 | Language,
5923,0.0,R_IPS1 | L_PHT,Visual2 | Language,
5924,0.0,R_IPS1 | L_PH,Visual2 | Visual2,
5925,0.0,R_IPS1 | L_TPOJ1,Visual2 | Default,
5926,0.0,R_IPS1 | L_TPOJ2,Visual2 | Dorsal-atten,
5927,0.0,R_IPS1 | L_TPOJ3,Visual2 | Dorsal-atten,
5928,0.0,R_IPS1 | L_DVT,Visual2 | Visual1,
5929,0.0,R_IPS1 | L_PGp,Visual2 | Language,
5930,0.0,R_IPS1 | L_IP2,Visual2 | Frontopariet,
5931,0.004210526315789487,R_IPS1 | L_IP1,Visual2 | Frontopariet,
5932,0.0,R_IPS1 | L_IP0,Visual2 | Language,
5933,0.0,R_IPS1 | L_PFop,Visual2 | Cingulo-Oper,
5934,0.0,R_IPS1 | L_PF,Visual2 | Cingulo-Oper,
5935,0.0,R_IPS1 | L_PFm,Visual2 | Frontopariet,
5936,0.0,R_IPS1 | L_PGi,Visual2 | Posterior-Mu,
5937,0.0,R_IPS1 | L_PGs,Visual2 | Posterior-Mu,
5938,0.0,R_IPS1 | L_V6A,Visual2 | Visual2,
5939,0.0,R_IPS1 | L_VMV1,Visual2 | Visual2,
5940,0.0,R_IPS1 | L_VMV3,Visual2 | Visual2,
5941,0.0,R_IPS1 | L_PHA2,Visual2 | Posterior-Mu,
5942,0.0,R_IPS1 | L_V4t,Visual2 | Visual2,
5943,0.0,R_IPS1 | L_FST,Visual2 | Visual2,
5944,0.0,R_IPS1 | L_V3CD,Visual2 | Visual2,
5945,0.0,R_IPS1 | L_LO3,Visual2 | Visual2,
5946,0.0,R_IPS1 | L_VMV2,Visual2 | Visual2,
5947,0.0,R_IPS1 | L_31pd,Visual2 | Posterior-Mu,
5948,0.0,R_IPS1 | L_31a,Visual2 | Frontopariet,
5949,0.0,R_IPS1 | L_VVC,Visual2 | Visual2,
5950,0.0,R_IPS1 | L_25,Visual2 | Posterior-Mu,
5951,0.0,R_IPS1 | L_s32,Visual2 | Posterior-Mu,
5952,0.0,R_IPS1 | L_pOFC,Visual2 | Orbito-Affec,
5953,0.0,R_IPS1 | L_PoI1,Visual2 | Cingulo-Oper,
5954,0.0,R_IPS1 | L_Ig,Visual2 | Somatomotor,
5955,0.0,R_IPS1 | L_FOP5,Visual2 | Cingulo-Oper,
5956,0.0,R_IPS1 | L_p10p,Visual2 | Frontopariet,
5957,0.0,R_IPS1 | L_p47r,Visual2 | Frontopariet,
5958,0.0,R_IPS1 | L_TGv,Visual2 | Default,
5959,0.0,R_IPS1 | L_MBelt,Visual2 | Auditory,
5960,0.0,R_IPS1 | L_LBelt,Visual2 | Auditory,
5961,0.0,R_IPS1 | L_A4,Visual2 | Auditory,
5962,0.0,R_IPS1 | L_STSva,Visual2 | Posterior-Mu,
5963,0.0,R_IPS1 | L_TE1m,Visual2 | Frontopariet,
5964,0.0,R_IPS1 | L_PI,Visual2 | Cingulo-Oper,
5965,0.0,R_IPS1 | L_a32pr,Visual2 | Cingulo-Oper,
5966,0.0,R_IPS1 | L_p24,Visual2 | Cingulo-Oper,
5967,0.0,R_FFC | R_V3B,Visual2 | Visual2,
5968,0.0,R_FFC | R_LO1,Visual2 | Visual2,
5969,0.0,R_FFC | R_LO2,Visual2 | Visual2,
5970,0.0,R_FFC | R_PIT,Visual2 | Visual2,
5971,0.0,R_FFC | R_MT,Visual2 | Visual2,
5972,0.0,R_FFC | R_A1,Visual2 | Auditory,
5973,0.0,R_FFC | R_PSL,Visual2 | Default,
5974,0.0,R_FFC | R_SFL,Visual2 | Default,
5975,0.0,R_FFC | R_PCV,Visual2 | Dorsal-atten,
5976,0.0,R_FFC | R_STV,Visual2 | Default,
5977,0.0,R_FFC | R_7Pm,Visual2 | Frontopariet,
5978,0.0,R_FFC | R_7m,Visual2 | Posterior-Mu,
5979,0.0,R_FFC | R_POS1,Visual2 | Posterior-Mu,
5980,0.0,R_FFC | R_23d,Visual2 | Posterior-Mu,
5981,0.0,R_FFC | R_v23ab,Visual2 | Posterior-Mu,
5982,0.0,R_FFC | R_d23ab,Visual2 | Posterior-Mu,
5983,0.0,R_FFC | R_31pv,Visual2 | Posterior-Mu,
5984,0.0,R_FFC | R_5m,Visual2 | Somatomotor,
5985,0.0,R_FFC | R_5mv,Visual2 | Cingulo-Oper,
5986,0.0,R_FFC | R_23c,Visual2 | Cingulo-Oper,
5987,0.0,R_FFC | R_5L,Visual2 | Somatomotor,
5988,0.0,R_FFC | R_24dd,Visual2 | Somatomotor,
5989,0.005894736842105263,R_FFC | R_24dv,Visual2 | Somatomotor,
5990,0.0,R_FFC | R_7AL,Visual2 | Somatomotor,
5991,0.0,R_FFC | R_SCEF,Visual2 | Cingulo-Oper,
5992,0.0,R_FFC | R_6ma,Visual2 | Cingulo-Oper,
5993,0.0,R_FFC | R_7Am,Visual2 | Cingulo-Oper,
5994,0.00042105263157894425,R_FFC | R_7PL,Visual2 | Language,
5995,0.0,R_FFC | R_7PC,Visual2 | Somatomotor,
5996,0.0,R_FFC | R_LIPv,Visual2 | Visual2,
5997,0.0,R_FFC | R_VIP,Visual2 | Visual2,
5998,0.0,R_FFC | R_MIP,Visual2 | Language,
5999,0.0,R_FFC | R_1,Visual2 | Somatomotor,
6000,0.0,R_FFC | R_2,Visual2 | Somatomotor,
6001,0.0,R_FFC | R_3a,Visual2 | Somatomotor,
6002,0.0,R_FFC | R_6d,Visual2 | Somatomotor,
6003,0.0,R_FFC | R_6mp,Visual2 | Somatomotor,
6004,0.0,R_FFC | R_6v,Visual2 | Somatomotor,
6005,0.0,R_FFC | R_p24pr,Visual2 | Cingulo-Oper,
6006,0.0,R_FFC | R_33pr,Visual2 | Cingulo-Oper,
6007,0.0,R_FFC | R_a24pr,Visual2 | Cingulo-Oper,
6008,0.0,R_FFC | R_p32pr,Visual2 | Cingulo-Oper,
6009,0.0,R_FFC | R_a24,Visual2 | Posterior-Mu,
6010,0.0,R_FFC | R_d32,Visual2 | Posterior-Mu,
6011,0.0,R_FFC | R_8BM,Visual2 | Frontopariet,
6012,0.0,R_FFC | R_p32,Visual2 | Posterior-Mu,
6013,0.0,R_FFC | R_10r,Visual2 | Posterior-Mu,
6014,0.0,R_FFC | R_47m,Visual2 | Posterior-Mu,
6015,0.0,R_FFC | R_8Av,Visual2 | Posterior-Mu,
6016,0.0,R_FFC | R_8Ad,Visual2 | Posterior-Mu,
6017,0.0,R_FFC | R_9m,Visual2 | Posterior-Mu,
6018,0.0,R_FFC | R_8BL,Visual2 | Posterior-Mu,
6019,0.0,R_FFC | R_9p,Visual2 | Posterior-Mu,
6020,0.0,R_FFC | R_10d,Visual2 | Posterior-Mu,
6021,0.0,R_FFC | R_8C,Visual2 | Frontopariet,
6022,0.0012631578947368328,R_FFC | R_44,Visual2 | Default,
6023,0.0,R_FFC | R_45,Visual2 | Default,
6024,0.0,R_FFC | R_47l,Visual2 | Posterior-Mu,
6025,0.0,R_FFC | R_a47r,Visual2 | Frontopariet,
6026,0.0,R_FFC | R_6r,Visual2 | Cingulo-Oper,
6027,0.0,R_FFC | R_IFJa,Visual2 | Default,
6028,0.0,R_FFC | R_IFJp,Visual2 | Frontopariet,
6029,0.0,R_FFC | R_IFSp,Visual2 | Default,
6030,0.0,R_FFC | R_IFSa,Visual2 | Frontopariet,
6031,0.0,R_FFC | R_p9-46v,Visual2 | Frontopariet,
6032,0.0,R_FFC | R_46,Visual2 | Cingulo-Oper,
6033,0.0,R_FFC | R_a9-46v,Visual2 | Frontopariet,
6034,0.0,R_FFC | R_9-46d,Visual2 | Cingulo-Oper,
6035,0.0,R_FFC | R_9a,Visual2 | Posterior-Mu,
6036,0.0,R_FFC | R_10v,Visual2 | Posterior-Mu,
6037,0.0,R_FFC | R_a10p,Visual2 | Frontopariet,
6038,0.0,R_FFC | R_10pp,Visual2 | Posterior-Mu,
6039,0.0,R_FFC | R_11l,Visual2 | Frontopariet,
6040,0.0,R_FFC | R_13l,Visual2 | Frontopariet,
6041,0.0,R_FFC | R_OFC,Visual2 | Posterior-Mu,
6042,0.0,R_FFC | R_47s,Visual2 | Posterior-Mu,
6043,0.008842105263157918,R_FFC | R_LIPd,Visual2 | Language,
6044,0.0,R_FFC | R_6a,Visual2 | Language,
6045,0.0,R_FFC | R_i6-8,Visual2 | Frontopariet,
6046,0.0,R_FFC | R_s6-8,Visual2 | Frontopariet,
6047,0.0012631578947368328,R_FFC | R_43,Visual2 | Cingulo-Oper,
6048,0.0,R_FFC | R_OP4,Visual2 | Somatomotor,
6049,0.0,R_FFC | R_OP1,Visual2 | Somatomotor,
6050,0.007578947368421063,R_FFC | R_OP2-3,Visual2 | Somatomotor,
6051,0.0,R_FFC | R_52,Visual2 | Auditory,
6052,0.0,R_FFC | R_RI,Visual2 | Auditory,
6053,0.0,R_FFC | R_PFcm,Visual2 | Cingulo-Oper,
6054,0.0,R_FFC | R_PoI2,Visual2 | Cingulo-Oper,
6055,0.0,R_FFC | R_TA2,Visual2 | Auditory,
6056,-0.001684210526315777,R_FFC | R_FOP4,Visual2 | Cingulo-Oper,
6057,0.0,R_FFC | R_MI,Visual2 | Cingulo-Oper,
6058,0.0,R_FFC | R_Pir,Visual2 | Orbito-Affec,
6059,0.0,R_FFC | R_AVI,Visual2 | Frontopariet,
6060,0.0,R_FFC | R_AAIC,Visual2 | Orbito-Affec,
6061,0.0,R_FFC | R_FOP1,Visual2 | Cingulo-Oper,
6062,0.0,R_FFC | R_FOP3,Visual2 | Cingulo-Oper,
6063,0.0,R_FFC | R_FOP2,Visual2 | Somatomotor,
6064,0.0,R_FFC | R_PFt,Visual2 | Language,
6065,0.0,R_FFC | R_AIP,Visual2 | Language,
6066,0.0,R_FFC | R_EC,Visual2 | Posterior-Mu,
6067,0.0,R_FFC | R_PreS,Visual2 | Posterior-Mu,
6068,0.0,R_FFC | R_H,Visual2 | Posterior-Mu,
6069,0.0,R_FFC | R_ProS,Visual2 | Visual1,
6070,0.0,R_FFC | R_PeEc,Visual2 | Ventral-Mult,
6071,0.0,R_FFC | R_STGa,Visual2 | Default,
6072,0.0,R_FFC | R_PBelt,Visual2 | Auditory,
6073,0.0,R_FFC | R_A5,Visual2 | Default,
6074,0.0,R_FFC | R_PHA1,Visual2 | Posterior-Mu,
6075,0.0,R_FFC | R_PHA3,Visual2 | Language,
6076,0.0,R_FFC | R_STSda,Visual2 | Default,
6077,0.0,R_FFC | R_STSdp,Visual2 | Default,
6078,0.0,R_FFC | R_STSvp,Visual2 | Posterior-Mu,
6079,0.0,R_FFC | R_TGd,Visual2 | Posterior-Mu,
6080,0.0,R_FFC | R_TE1a,Visual2 | Posterior-Mu,
6081,0.0,R_FFC | R_TE1p,Visual2 | Frontopariet,
6082,0.0,R_FFC | R_TE2a,Visual2 | Posterior-Mu,
6083,0.0,R_FFC | R_TF,Visual2 | Ventral-Mult,
6084,0.0,R_FFC | R_TE2p,Visual2 | Language,
6085,0.0,R_FFC | R_PHT,Visual2 | Language,
6086,0.0,R_FFC | R_PH,Visual2 | Visual2,
6087,0.0,R_FFC | R_TPOJ1,Visual2 | Default,
6088,0.0,R_FFC | R_TPOJ2,Visual2 | Dorsal-atten,
6089,0.0,R_FFC | R_TPOJ3,Visual2 | Dorsal-atten,
6090,0.0,R_FFC | R_DVT,Visual2 | Visual1,
6091,0.0,R_FFC | R_PGp,Visual2 | Language,
6092,0.0,R_FFC | R_IP2,Visual2 | Frontopariet,
6093,0.0,R_FFC | R_IP1,Visual2 | Frontopariet,
6094,0.0,R_FFC | R_IP0,Visual2 | Language,
6095,0.0,R_FFC | R_PFop,Visual2 | Cingulo-Oper,
6096,0.0,R_FFC | R_PF,Visual2 | Cingulo-Oper,
6097,0.0,R_FFC | R_PFm,Visual2 | Frontopariet,
6098,0.0,R_FFC | R_PGi,Visual2 | Posterior-Mu,
6099,0.0,R_FFC | R_PGs,Visual2 | Posterior-Mu,
6100,0.0,R_FFC | R_V6A,Visual2 | Visual2,
6101,0.0,R_FFC | R_VMV1,Visual2 | Visual2,
6102,0.0,R_FFC | R_VMV3,Visual2 | Visual2,
6103,0.0,R_FFC | R_PHA2,Visual2 | Posterior-Mu,
6104,0.0,R_FFC | R_V4t,Visual2 | Visual2,
6105,0.0,R_FFC | R_FST,Visual2 | Visual2,
6106,0.0,R_FFC | R_V3CD,Visual2 | Visual2,
6107,0.0,R_FFC | R_LO3,Visual2 | Visual2,
6108,0.0,R_FFC | R_VMV2,Visual2 | Visual2,
6109,0.0,R_FFC | R_31pd,Visual2 | Posterior-Mu,
6110,0.0,R_FFC | R_31a,Visual2 | Posterior-Mu,
6111,0.0,R_FFC | R_VVC,Visual2 | Visual2,
6112,0.0,R_FFC | R_25,Visual2 | Posterior-Mu,
6113,0.0,R_FFC | R_s32,Visual2 | Posterior-Mu,
